Location.City,Location.State,Data.Shape,Data.Description excerpt,Dates.Sighted.Year
venice,CA,triangle,I got up early in the morning headed for Motorcycle Swap Meet in Long Beach&#44Ca I look up I&#39ll BE DAM&amp;quot; It&#39s the same small Tr,2012
venice,CA,triangle,Drone flying over head. under the airline flight path.,2014
venice,CA,triangle,Silent Triangle craft sighted Venice&#44 CA May 3rd 2011 21:20,2011
ventura,CA,triangle,A Triangular craft  that was highly visible,2010
ventura,CA,triangle,I opened the front door to look at the stars.  The few stars I could see did not look bright tonight.   A distortion pattern of the sky,2012
ventura,CA,triangle,Black low flying noiseless big triangular shaped craft seen during lunar eclipse,2003
ventura,CA,triangle,I was outside late monday night&#44 having a cigarette. standing in my backyard &#44 looking at the stars. suddenly &#44 what i can only describ,2002
ventura,CA,triangle,Clear triangle over Ventura,2012
ventura,CA,triangle,Lights in V formation,2004
ventura,CA,triangle,Triangle and silent with three lights,2003
visalia,CA,triangle,i was looking for mars and saw a triangular blicking object,2004
visalia,CA,triangle,white object passed overhead moving southeast disappeared&#44 within 10 minutes saw oddshaped white object traveling northward trajectory,2010
vista,CA,triangle,MY FRIEND AND I WERE FISHING IN THE COVE BY OCEANSIDE&#44CA AND NOTICED A BRIGHT LIGHT. WE THOUGHT IT MIGHT BE A COBRA OR A MILITARY AIRCR,2007
vista,CA,triangle,A bright red orbish thing coming from the north moving to the east,2011
vista,CA,triangle,3 lights on each side on a triangle craft&#44 2 solid bright lighted craft,2001
vista,CA,triangle,I was out on my porch that faces south. Wind 1-2 mph from east&#44 scattered puffball clouds. Night sky Illuminated by city lights. I saw,2012
vista,CA,triangle,two crafts were sighted moving north to south at a high rate of speed,2003
vista,CA,triangle,The first craft was in had 3-5 small dim blue lights in a triangular shape&#44 although the outline of its body was circular&#44 it was very,2003
vista,CA,triangle,Low flying triangular objects changing colors 10 minutes apart San Diego North County.,2013
vista,CA,triangle,three triangle Shaped craft recon behind a hill in vista&#44ca at night.,2004
walnut creek,CA,triangle,I and 7 freinds and family saw a dull&#44 grey triangular shaped object hover over a hill&#44 fly toward us and the speed away. There was a v,2003
watsonville,CA,triangle,it was similar to a manta  ray with no tail bobbing in the sky&#44 black with soft edges,2005
weldon,CA,triangle,soft green glowing object seen 40 miles west of Edwards AFB,2002
west covina,CA,triangle,Triangular and extremely bright; disappeared in an instant; probably military craft due to two osprey which preceded it.,2009
whittier,CA,triangle,The objects were triangular in shape and moved in a trianglular formation.,2012
whittier,CA,triangle,Huge Triangle over Whittier in 1977,1977
whittier,CA,triangle,V-Shaped object hovering over residential neighborhood.,2011
wilmington,CA,triangle,red non blinking triangular pattern objects seen moving in fast z pattern in night sky,2009
winnetka,CA,triangle,5 objects in the Eastern San Fernando Valley sky.,2002
woodland hills,CA,triangle,I noticed a light that appeard to be above the Sepulveda Mullholland pass area. The light moved vertically and horizontally stopped and,1967
woodland hills,CA,triangle,Bright row of lights over Woodland Hills.,2014
woodside,CA,triangle,Black triangular-shaped craft&#44 moving very slowly 200 yards above our house; weooo&#44 weooo&#44 weooo sound; huge yellow beam in front.,2008
yorba linda,CA,triangle,((NUFORC Note:  Vandenberg AFB missile launch.  PD))  Boomerang shaped object with bright light emanating from the rear of the craft.,2005
yorba linda,CA,triangle,Triangular color changing object in the east,2009
yountville,CA,triangle,Long bright red triangle.,2013
yreka,CA,triangle,Low flying large darkened triangle with no sound seen by nine policemen,1978
yuba city,CA,triangle,3 Triangular objects&#44 bright white lights with 2 round red &quot;tail lights&quot;&#44 slow speed&#44 low altitude,2005
yuba city,CA,triangle,Three large lights in triangular formation spotted near Yuba City&#44 CA on 11/30/02.,2002
yuba city,CA,triangle,Black triangle with reddish lights.,2007
yucaipa,CA,triangle,BRIGHT LIGHT HOVERS OVER YUCAIPA&#44 CA MARCH 29TH 2011 AT 11:00 P.M.,2011
arvada,CO,triangle,A triangular shaped object this a white light at each vertex and a red light in the center.,2011
arvada,CO,triangle,silent v shape  craft &#44 no light&#39s&#44 moving west to east&#44 circles on bottom from center and two down the &quot;wings&quot;,2008
arvada,CO,triangle,Red Orbs.,2014
arvada,CO,triangle,HUGE Triangle UFO spotted over Denver,2001
aurora,CO,triangle,Triangle shaped object traveling slowly over Colorado neighborhood,1998
aurora,CO,triangle,Three green lights in the shape of a triangle moving FAST&#44 sharp turns and dipping low in the sky at Quincy and Piccadilly&#33&#33&#33,2012
aurora,CO,triangle,3 triangle craft&#44  2 red and one yellow/amber,2008
aurora,CO,triangle,Several objects came from big one&#44 then I lost sight of them...,2002
aurora,CO,triangle,It is raining really bad here and me and my friend were driving to my house and we saw an object in the sky kinda low with 3 lights on,2009
aurora,CO,triangle,Triangular craft (two footbal fields in size),2000
bayfield,CO,triangle,Flying triangle in Bayfield&#44 CO,2003
black forest,CO,triangle,Passed underneath and to the side of 3 lights that were stationary above tree tops at low speed.,2001
boulder,CO,triangle,A large triangle craft&#44 with about 20 red lights blinking once per second. The craft appeared to be very large&#44 about twice the size of,2007
boulder,CO,triangle,V-shaped craft flying southwest over Boulder CO,2012
boulder,CO,triangle,V shaped flying wing with lights in the whole shape of the wing like apartment lights or living area lights,2013
boulder,CO,triangle,Boulder CO Triangle/Chevron Object.,2012
boulder,CO,triangle,Saw 3 lights moving slowly over the foothills,1997
boulder,CO,triangle,A trangular craft with several&#44 large&#44 bright lights flew low and quick over the neighborhood,2010
boulder,CO,triangle,Triangular &quot;constellation&quot; of star-like objects float silently across the sky at very high altitude.,2003
boulder,CO,triangle,Three people see a illuminated V shaped object fly over them at night&#44 fast&#44 low&#44 silent&#44 making 2 passes.,2006
boulder,CO,triangle,Object appeared for about 10 seconds triangle shape,2006
boulder,CO,triangle,It moved fast and not easy to see ..,2012
boulder,CO,triangle,I observed a large triangular shaped object in 1983 in the same area and with identical characteristics described in a 2005 report.,1983
boulder,CO,triangle,Dim triangle of lights&#44 high speed&#44 low altitude but no noise over Boulder&#44 CO 10/17/2009 10pm,2009
castle pines,CO,triangle,3 bright white lights in triangular shape seen over Denver,2013
castle rock,CO,triangle,I was driving in my car when two triangle shaped crafts (lights were seen) hovering over the Castle Rock area&#44 they seemed to be landin,1998
centennial,CO,triangle,3 residents of Centennial Colorado massive UFO due west of Centennal hoving bright multi color  lights howing for over 30 minute plus.,2014
cheraw,CO,triangle,A phone call from my sister on her ay to work..... &quot;Do you see that???&#44What the HELL is it???&quot;,1999
colorado city,CO,triangle,3 of us saw a bright white light triangle inside of a lighted rectangle directly overhead then it travelled directly south and disappea,2010
colorado springs,CO,triangle,THE TRIANGLAR CRAFT WAS OBSERVED NEAR PIKE&#39S PEAK. I SAW IT FIRST. IT WAS SCANNING THE PEAK WITH ONE OF THREE SEARCHLIGHTS THAT WERE ON,2000
colorado springs,CO,triangle,Triangle craft with dim lights traveling low at a high rate of speed with no sound over the Colorado Springs airport.,2009
colorado springs,CO,triangle,Red&#44 blue&#44 white and green high in sky; didn&#39t move.,2013
colorado springs,CO,triangle,triangle craft. one moving glowing blue at 250ft. The other hovering off a busy street . same altitude.3 wht lights 1 red center,1991
colorado springs,CO,triangle,Triangular shaped object with 6 to 8 orange colored lights&#44 3 on each side.,2009
colorado springs,CO,triangle,Triangle with Orange Lights Swooped Down Quickly then Disappeared.,2011
colorado springs,CO,triangle,V shaped  object  spotted in night sky,2007
colorado springs,CO,triangle,Clear night&#44 calm winds&#44 object triangular&#44 blue glow emanating all around&#44 flying at250 to 500 feet north to south direction no noise,1991
colorado springs,CO,triangle,A reddish/Orange object traveling silently at a very high rate of speed at relatively low altitude.,2012
colorado springs,CO,triangle,Triangle shaped&#44 no lights&#44 clear&#44 like it was being cloaked&#44 I could still make out the shape. VERY LARGE. Totally silent&#44 very fast.,2003
colorado springs,CO,triangle,Metallic&#44 triangular object spotted hovering in broad daylight near NORAD.,2006
colorado springs,CO,triangle,Triangular light configuration indicated low flying hover-craft in fog and snow above Powers Blvd.,2007
colorado springs,CO,triangle,3 triangular craft moveing in erratic patterns&#44 then dissappeared.,2001
colorado springs,CO,triangle,craft was seen hovering 100ft above the ground at the southeast corner of Powers and Platte at 9PM on 6/28/99 for about 20 seconds nort,1999
colorado springs,CO,triangle,the second object appreared suddenly&#44 then flickered out as the first object returned the way it had come.,2007
colorado springs,CO,triangle,I was driving to work on November 06 2008. I stopped for Sonic to eat before work. I live very close to the back side of the locale air,2008
colorado springs,CO,triangle,I saw 3 red or orange sphere shaped lights aligned in a triangle like shape there were very low so I knew it wasn&#39t a airplane and it w,2013
colorado springs,CO,triangle,Black triangle spotted in Pikes Peak region and slowly fades from sight.,2005
colorado springs,CO,triangle,UFO hovers off of mile marker 129 (Interstate 25) in Colorado Springs??,2009
colorado springs,CO,triangle,colorado springs&#44 colorado saw  a object at night 3 multi-colored lights,2005
colorado springs,CO,triangle,Triangular light formation in Colorado.,1997
colorado springs,CO,triangle,Triangular object in 1967,1967
colorado springs,CO,triangle,Multicolored arrowhead shaped object east over Colorado Springs viewed from the Ute Pass to the west.,2009
colorado springs,CO,triangle,Air Force fired projectiles of some sort at alien craft and hit them directly&#44 causing all of the craft fired upon to hit the ground.,2007
craig,CO,triangle,it was sitting in the sky like it diddent care that i was watching,2003
crestone,CO,triangle,Triangular lights spotted over Challenger Peak Area from Crestone&#44 Colorado.  ((NUFORC Note:  Sighting of Venus??  PD)),2007
denver,CO,triangle,Triangle with lights&#44 no sound&#44 heading south-west.,2004
denver,CO,triangle,Denver&#44 Colorado&#44 March 17&#44 1977&#44 at around 7:30 pm. Two objects seen up close. One hovered over our home&#44 the other flew over at just,1978
denver,CO,triangle,Very large&#44 boomerang shaped object&#44 silently moving slowly at treetop height East to West with no wind disturbance.,1973
denver,CO,triangle,Triangular sighting in Central Denver&#44 10 May 2004&#44 at 3:35 AM  ((NUFORC Note:  NOSS satellites.  PD)),2004
denver,CO,triangle,White Triangle in Denver Colorado,2011
denver,CO,triangle,Triangular shaped object with a large round light on what appears to be the bottom.,2013
denver,CO,triangle,ufo setting over the denver tech center,2000
denver,CO,triangle,Five faint red things in a fast and silent V formation in Denver at 5:52pm on 11/24/00 with no running lights?,2000
denver,CO,triangle,Flying object with Triangular shaped aura spotted in Denver,2007
denver,CO,triangle,Huge flying-V appeared to be high in the atmosphere.,2011
denver,CO,triangle,triangle object withred lights on points and white light in center,2000
denver,CO,triangle,At approximately 8:15pm mountain time on Wednesday 6/20/12 I saw an Unidentified Flying Object over Denver Colorado. There was a weat,2012
denver,CO,triangle,Myself and a friend&#39s sister were standing on a rear balcony at 18th and Franklin St. (SE corner&#44 alley) when we both seemed to &quot;sense&quot;,1977
denver,CO,triangle,Bright triangle lights in sky,2009
denver,CO,triangle,we taped a triangle shaped object changing shape and color then just disappeared within 15 min,2002
denver,CO,triangle,Silent and Triangular shaped craft passes above Denver residence,2006
denver,CO,triangle,Speedy Craft captured in photos over Lake Marston&#44 Denver.,2006
denver,CO,triangle,Two triangular craft with 5 white lights each flying in formation.,2004
denver,CO,triangle,5 Orange balls of light in triagle formation followed by dim white light.,2011
denver,CO,triangle,taking pictures of blue moon. of 5 pictures it was it was there long enough for only 1. the 3rd pic. i took,2001
denver,CO,triangle,It was &#39V&#39 shaped&#44 large&#44 and silent.,2002
durango,CO,triangle,Strange object seen in Colorado sky,2012
eads,CO,triangle,Very large triangular object&#44 no lights&#44 no sound&#44  extreme acceleration.,2001
edgewater,CO,triangle,Four bright  stationary objects observed to be hovering near a rainbow in daylight sky over Denver&#44Co.,2004
englewood,CO,triangle,3 lighted triangle thing disappeared to the dark sky in seconds,2006
englewood,CO,triangle,Formation of three silent lights traveling in a large perfectly unison traingle as if all apart of one single object,2001
evergreen,CO,triangle,Triangle shape of lights&#44 traveling at a fast speed toward lighting storm.,2013
florissant,CO,triangle,Open triangle shape&#44 spherical corners&#44 no lights&#44emitting a short&#44 thick grey &#39exhaust&#39 trail while slow moving across daylight sky.,2013
fort collins,CO,triangle,3 flashes then 7 dim lights flying in a &quot;V&quot; shape.,2002
fort collins,CO,triangle,Triangle craft spotted in Fort Collins Colorado,2005
fort collins,CO,triangle,Triangle seen in telescope.  ((NUFORC Note:  Possible &quot;twinkling&quot; star&#44 we suspect.  PD)),2008
fort collins,CO,triangle,3 lights in rigid formation traversing the sky in about 5 seconds,2003
fort collins,CO,triangle,LARGE DARK-GREY TRIANGULAR OBJECT W/ SINGLE WHITE STROBE seen south of Fort Collins,2008
fort collins,CO,triangle,3-4 intensifying lights&#44 under telescope; triangles with color-changing and cycling lights,2008
fort collins,CO,triangle,Strange triangle-shaped aircraft with 7 dim lights flying low&#44 fast&#44 and completely silent.,2003
fort collins,CO,triangle,A &quot;V&quot; formation of 5 faint solid lights flies over Fort Collins heading west.,2012
fountain,CO,triangle,Triangle seen over Fountain Colorado outside Colorado Springs.,2002
fraser,CO,triangle,5&#44 red&#44 triangular shaped&#44 crafts fly across the night sky in Colorado............,2001
fraser,CO,triangle,Triangular shape with long&#44 blunt nose; light fluorescent green; appeared suddenly&#44 moving east.,2002
fruita,CO,triangle,Possible drone?,1983
grand junction,CO,triangle,The lights were triangular shaped&#44 object appeared invisable except for lights&#44 then flew off quickly,2003
grand junction,CO,triangle,Massive&#44silent triangular shape slowly moving over Grand Junction&#44Colorado at approximately 1:00am on 9-17-2010,2010
grand junction,CO,triangle,Night time. Large triangle w/3 lights sighted hovering 75 ft over ground. Banked and flew fast over city&#44 lost altitude then vanished,2012
grand junction,CO,triangle,2  bright  orbs of light.,2013
greeley,CO,triangle,Dark triangular form appeared&#44 flew at a steady pace a few blocks over the treeline in Greeley&#44 Colorado and then dissapeared.,2008
greeley,CO,triangle,Three yellow circular lights in the shape of a triangle.,2008
greeley,CO,triangle,Looking for Leonid meteors saw triangle lights fly overhead,1998
greeley,CO,triangle,It was large&#44 moved slowly and was silent.,2000
gunnison,CO,triangle,At about 10:30 pm a friend and I&#44 both western state college students were outside and happened to look up at the stars at the same tim,2010
highlands ranch,CO,triangle,2 UFO&#39s spotted.  Triangle one got aggressive and shot at the white ball one until it left.,2013
highlands ranch,CO,triangle,triangle with one spot on each corner and one big one in the middle.,2001
highlands ranch,CO,triangle,Large&#44 silent&#44 slow&#44 triangular UFO with 6 bright white lights traveling approximately 4 stories off the ground near Denver...06:30,2008
highlands ranch,CO,triangle,Triangle object&#44 orange&#44 blue and red lights&#44 no sound&#44 high speeds&#44close to ground.,2000
ignacio,CO,triangle,Three triangular shapes with extended &quot;legs&quot; floating southwest over SW Colorado NW New Mexico mountains.,1997
la junta,CO,triangle,perfect triangular objects flying in perfect form with incredible speeds.,2001
lafayette,CO,triangle,I completed a report on your site over a year ago and it was very brief and not as descriptive as I should have been in my initial repo,2009
lafayette,CO,triangle,I was at a friend&#8217;s house in Lafayette Colorado to watch the predawn Meteor Showers at 4:00am. We were standing outside having a smoke,2009
lakewood,CO,triangle,lighte object over lakewood Colorado. event  lasted almost 10 min.,1976
lakewood,CO,triangle,Triangle shaped lights moving very very fast,1998
lakewood,CO,triangle,My husband&#44 son and I were outside and my husband said what the **** is that? So my son and I stood up and I noticed a triangle shape o,2011
lakewood,CO,triangle,Triangular&#44 dimly-lit craft that made no noise and flew slowly.,2013
littleton,CO,triangle,Black Triangle near downtown Littleton&#44CO,2001
longmont,CO,triangle,Cloaked Triangle shaped outlined with &quot;stars&quot;.,2001
longmont,CO,triangle,UFO might have been invisible to the naked eye but my digital camera got it&#33&#33&#33,2008
longmont,CO,triangle,Traingle craft about 60+ feet in diameter was sighted flying west of Longmont CO.,1998
longmont,CO,triangle,3 bluish lights in a triangel shape streaked across the sky at a very high rate of speed.,2004
longmont,CO,triangle,we were relaxing in our hot tub and whitnesed a boomarang shaped object  that seemed to be camo. looked like a cloud fly by after about,2013
longmont,CO,triangle,Many small lights&#44 boomerang formation&#44 going due south. Saw same 3 weeks ago.,1999
longmont,CO,triangle,((HOAX??))  LONGMONT&#44 COLORADO-MASSIVE TRIANGLE FOR ATY LEAST 1 HOUR,2008
loveland,CO,triangle,saw orange lights moving in formation,2008
loveland,CO,triangle,Large triangle over loveland.,2011
loveland,CO,triangle,Triange object,2005
loveland,CO,triangle,White triangular lights seen over Loveland Colorado,2007
loveland,CO,triangle,Classic five lighted triangle shaped UFO sighting,2012
loveland,CO,triangle,4 Synchronized Lights Flying above Loveland,2007
mead,CO,triangle,One night 3/29/2011 2018 pm while driving to work &#44I noticed some lights that seemed out of place. So I pulled off I-25 (mead exit) on,2011
northglenn,CO,triangle,Hovering triangular shape seen with flashing lights seen in Colorado,2007
nunn,CO,triangle,Three lights in a triangle that flew off in opposite directions at an amazing speed in Northern Colorado.,2012
parker,CO,triangle,Triangular Craft,2004
pueblo,CO,triangle,Bright Pink Stealth shaped ufo in CO,2013
pueblo,CO,triangle,Creme white triangular craft and streak behind it.,2011
pueblo,CO,triangle,Four lights&#44 spaceship in triangle form.  One red blinking one in the middle&#44 hovering motion,2012
pueblo,CO,triangle,three lights forming a triangle-shaped object.,2009
pueblo,CO,triangle,Black Triangle in sky about 35 mi south of NORAD,1996
pueblo,CO,triangle,Multiple UFO sightings in Pueblo 09/22/01,2001
pueblo,CO,triangle,TRIANGLE IN THE SKY,2005
pueblo,CO,triangle,Silent large flying v of 5 orange glowing patches gives fright.,2002
pueblo,CO,triangle,3 Triangular craft passed directly overhead.  They were flying in a &quot;V&quot; formation at low altitude. There was no sound. These objects we,1995
pueblo,CO,triangle,Strange  craft over Pueblo Colorado,2000
pueblo west,CO,triangle,It was about 11:30 at night&#44 when my brother came into my room and told me to look out my window. He seemed very excited but also a lit,1998
pueblo west,CO,triangle,two bright white lights with a translucent veil traveled from south west to North  horizon just before dawn.,2011
salida,CO,triangle,3 Crafts Above Methodist Mountain in Colorado in August 2004&#33,2004
simla,CO,triangle,kinda like a triangle with blinking lights on the 2 sides....,2002
springfield,CO,triangle,A triangular object with a multitude of lights was spotted in the southeast Colorado night sky.,2009
superior,CO,triangle,Triangle shaped object with 4 different colored lights across Denver sky...,2003
thornton,CO,triangle,See below.,1999
thornton,CO,triangle,three VERY BRIGHT RED lights shaped like three VERRY big stop lights,2009
thornton,CO,triangle,Triangular Shaped Craft with a bright light on each tip,2006
westcliffe,CO,triangle,Triangle shaped object with3 points of light moved from north to south and then faded away&#44 no noise.,2004
westminster,CO,triangle,Triangle craft seen in Westminster Colorado.,2002
westminster,CO,triangle,Silent&#44 Black Triangle with lights on the corners and amber&#44 glowing lights at rear of craft.,2003
westminster,CO,triangle,Couple sees object while looking at Mars.,2003
westminster,CO,triangle,A white puffy cottonball appeared and then a triangle emerged from it.  It was totally silent and had a light on each corner.,1993
wheat ridge,CO,triangle,Triangle Bright light formation flying sideways,2007
windsor,CO,triangle,Upside Down Black Metalic Pyramid with non-defracting lights,1982
windsor,CO,triangle,Black triangle with three lights over Windsor,2001
windsor,CO,triangle,Black triangle with three lights seen flying over Windsor&#44 Colorado.,2004
ansonia,CT,triangle,3 lights&#44 triangular&#44 orange &amp; white&#44 hovering/turning/flipping.,2013
ansonia,CT,triangle,Triangle&#44 3 lights&#44 silent and slow. Low altitude.,2005
baltic,CT,triangle,3 very bright bloodred orbs flying in perfect triangular formation and smaller object approaching from opposite direction,2013
berlin,CT,triangle,Two orange lights swirled around eachother and flew off side by side to the north northeast.,2006
berlin,CT,triangle,bright light in the sky,2007
bloomfield,CT,triangle,Triangular formation in Bloomfield,2012
bridgeport,CT,triangle,I was sitting on my front porch and noticed a bright light in the distance over the trees. I mentioned it to my fiance and he said it w,1980
bridgeport,CT,triangle,three brightly lit arrow shaped  objects observed in night sky,2008
bristol,CT,triangle,very large object seen over the west end,1971
bristol,CT,triangle,Black Quiet Triangle Spotted,2005
broad brook,CT,triangle,Aprox 8PM eastern in Broad Brook&#44 CT I saw a known black triangle craft. It had one large white lamp at te front tip and two large whit,2006
brookfield,CT,triangle,Small craft taking off and shooting off very fast&#33&#33,2012
brooklyn,CT,triangle,3-5 bright lights&#44 sporatically flashing and forming a triangular shape,2003
burlington,CT,triangle,Triangular aircraft flies extremely low&#44 then flies vertically&#44 then flies directly over the observer,2009
chaplin,CT,triangle,((HOAX/OBSCENE))  holy ((deleted))&#33  ((NUFORC Note:  Possible meteor.  PD)),2012
ellington,CT,triangle,Large triangular craft aprox. 200-300 ft wide &#44 hovering approximately 150 ft above ground&#44 and making little or no sound,1988
enfield,CT,triangle,Triangle craft with 3 white lights&#44 4th flashing&#44 as I filmed the craft it made no noise&#44 hopefully you will see on TV,2004
enfield,CT,triangle,Large slow moving triangle over Enfield,2004
enfield,CT,triangle,Vibrant yellow lights forming perfect triangle,2012
enfield,CT,triangle,two objects came together in the sky.,1976
fairfield,CT,triangle,As I was driving South from Milford to Fairfield on I95 at 5:00 PM I saw 2 triangular aircraft near each other VERY BRIGHTLY LIT (possi,2013
falls village,CT,triangle,Triangular UFO with flashing lights and light beam.,2009
farmington,CT,triangle,Triangular Craft spotted in CT.,2010
gales ferry,CT,triangle,Large Triangle craft flew over pool making no sound at high rate of speed,1994
greenwich,CT,triangle,Slow moving&#44 quiet very large triangular shaped craft just above the tree line.,1997
groton,CT,triangle,Large Triangle with lights object and three small  objects,2010
guilford,CT,triangle,A triangle shaped UFO rose straight up in the air&#44 nose up&#44 then stopped&#44 straighted out so the nose was pointing at us and flew away.,2004
hamden,CT,triangle,Object appearede as a bright light on horizon line then it moved toward us&#44 we knew then it was not a plane.,1991
hartford,CT,triangle,wedge shaped objects flying in formation over hood of car at dusk while driving on highway.,1973
hartford,CT,triangle,Stars moving strange on the night of 4th of July fire works.,2009
madison,CT,triangle,Sparklers,2004
manchester,CT,triangle,White triangular craft flying low and slow over Manchester CT.,2002
manchester,CT,triangle,3  slow to fast moving red lights hovering over  manchester,2011
marlborough,CT,triangle,3 red pulsating lights in a perfect triangle glide over Marlborough&#44 CT,2009
milford,CT,triangle,Three red lights flying in formation followed by a triangular craft with one red light that was spinning slolwy,2013
milford,CT,triangle,huge triangular object moving at great speed and very low over my house in Milford CT,2008
monroe,CT,triangle,Big&#44 triangular craft with 3 large lights flying quickly across the sky and joines two similar objects to form a huge triangular format,2000
mystic,CT,triangle,I saw a triangle ufo in the Mystic ct hotel area.,2011
mystic,CT,triangle,Triangular orange lights hovering over Mystic&#44 CT.,2012
new britain,CT,triangle,saw a silent&#44 huge&#44 black&#44 triangle shape object floating and flying in the sky with lights,2006
new fairfield,CT,triangle,Triangular grouping at high altitude slowly moves and vanishes  ((U.S. Navy &quot;triplet&quot; of satellites??)),2004
new haven,CT,triangle,I&#44 and another individual&#44 observed a triangular-shaped&#44 multi-colored&#44 silent object slowly traverse the night sky of New Haven&#44 Conn.,1982
new haven,CT,triangle,&quot;Black Triangle&quot; spotted in CT back in mid-eighties,1986
newington,CT,triangle,Sighting of UFO near the Connecticut Light &amp; Power Bldg.&#44 Newington&#44 CT,1966
norwalk,CT,triangle,We have a home on direct waterfront at a point unobstructed in Rowayton ( Norwalk ) CT and have never seen anything like this&#33,2012
oakville,CT,triangle,2 triangular shaped crafts flying in tight formation.,2014
pomfret,CT,triangle,Triangle with lights across the back,2008
ridgefield,CT,triangle,triangular ufo flew overhead,2000
sharon,CT,triangle,Conn. silent  object,2009
simsbury,CT,triangle,A slow moving and hovering triangular shaped object with multiple bright white lights and one red light.,2014
southbury,CT,triangle,A large triangular object hovered 30 mins&#44 then accelerated and disappeared over the horizon.,1998
southington,CT,triangle,Triangle shaped object in the sky. bright yellow lights with no noise.,2013
stafford springs,CT,triangle,Triangle Ship Teleports,2010
stafford springs,CT,triangle,9 orange lights hovering above the trees,2011
stamford,CT,triangle,I saw 6 bright lights with blue triangular lights between them on a triagular shaped object hovering low in the sky.,2001
stonington,CT,triangle,Tringular object hovering silouhetted against bright starlit night. Country road where absolute dark was at the time (norm) 2 mile dirt,1990
stratford,CT,triangle,Saw a grey&#44 triangular object with two lights hovering in the sky.,2011
stratford,CT,triangle,V shaped UFO tracked for miles by Ct residents  (Hudson Valley Connected),1983
stratford,CT,triangle,TWO TRIANGLE CRAFTS NO SOUNDS OBSERVED&#44,2007
suffield,CT,triangle,I saw five yellow resist triangle objects flying in formation. Moving in ways a plane couldn&#39t. I pulled over in a field to watch. They,2012
tolland,CT,triangle,The triangular thing was slowly gliding just above the tree&#44 (about 3 stories high) during the summer of 1984.  It also was the size of,1984
torrington,CT,triangle,UFO,2008
torrington,CT,triangle,Bright triangle object drops flares out of the sky to  the earth,2006
trumbull,CT,triangle,Strange Triangle Craft,2012
vernon,CT,triangle,3 bright lights in the shape of a Triangle,2004
wallingford,CT,triangle,Fleet of white triangular airplanes&#44 circular center with three lights&#44 rear again trangular.,2006
wallingford,CT,triangle,REAL SIGHTING     V    SHAPE     UFO,2000
waterbury,CT,triangle,5 orange lights&#44 triangular formation&#44 no noise&#44 rose straight from the ground and took off quickly.,2010
waterbury,CT,triangle,Triangular Shape aircraft&#44 with square cutout in rear. Silent&#44 no lights&#44 slow moving. Large.,2012
watertown,CT,triangle,My two brothers and I witnessed two distinct&#44 dark yellow lit&#44 triangular objects stay still and then suddenly move to the left.,2000
west hartford,CT,triangle,Triangular shape - intense lights - silent and vanished in speed of light,2004
west hartford,CT,triangle,2 Trangular Craft Seen,2004
westbrook,CT,triangle,Very large (747ish)&#44 low flying&#44 slow moving (30-50 mph)&#44 and absolutely silent triangular object w/3 lights.,2010
westport,CT,triangle,Westport&#44 CT possible sighting,2003
winsted,CT,triangle,multiple  unidentifiable triangular flying objects.  ((NUFORC Note:  Student report.  PD)),2009
bear,DE,triangle,Multiple sightings of a perfect circle of light that is replaced by three dimmer lights in an equilateral triangle.,2007
clayton,DE,triangle,Saw triangular shaped&#44 black object with greenish lights&#44 on 2/19/05&#44 in De. USA at 9:30pm EST,2005
dewey beach,DE,triangle,Very largeTriangle shaped silent craft moving off of the ocean over our heads with lights at each corner,2002
dover,DE,triangle,Triangle shaped aircraft hovering low in a field off Route 1 South,2002
dover,DE,triangle,Silent&#44 triangular craft hovering over a field within one mile of airforce base,2007
dover,DE,triangle,Large&#44 silver flying object with light beaming down.,2009
dover,DE,triangle,11-03-2000: Large &quot;Stealth&quot; Style Craft Hovers Near Delaware Highway 113 (milemaker 46.5),2000
dover,DE,triangle,&quot;Stealth&quot;,2000
dover,DE,triangle,Floating Airliner?,2006
dover,DE,triangle,Four lights flying in triangle formation.,2012
dover,DE,triangle,A triangular shaped hovering object with green and red lights,2011
elsmere,DE,triangle,Small triangular shaped craft&#44 which made  zig zag movement in the sky.,2012
felton,DE,triangle,Three triangular objects with rotating&#44 colored lights appear in the western night sky over a mid-Atlantic town.,2011
georgetown,DE,triangle,UFO at Vo-Tech Center comes calling again,1980
lewes,DE,triangle,Dim horizontal lights in isosceles triangle shape flying East to West over Lewes&#44 DE,2012
middletown,DE,triangle,Saw a craft with bright lights&#44 watched it&#44 saw it do an ABOUT FACE in midair and come straight back the same path it had been taking,2003
middletown,DE,triangle,Triangular object&#44 surrounded by very dim lights&#44 moving fast and low.  Very hot and silent.,1999
millsboro,DE,triangle,4 lights in square formation in sky and small triangular craft seen at close range,1997
new castle,DE,triangle,Silent and hovering.,1988
newark,DE,triangle,Orange-ish array of lights cruising over I-95 in Delaware,2009
newark,DE,triangle,Noisy aircraft travelling slowly S. Low in the sky; lights on each corner of triangle. Near Kirkwood Hwy and Polly Drummond Hill Rd.,2012
newark,DE,triangle,3bright lights trianglular shape like an airplane&#44 but hovering,2005
smyrna,DE,triangle,Large triangular craft with three bright lights.,2008
smyrna,DE,triangle,Triangle craft with 3 bright lights,2002
wilmington,DE,triangle,Seen in the sky by Mother daugther and 3 grandkids was a very strange thing.  It was triangle in shape. In each corner there was a brig,2000
wilmington,DE,triangle,triangular shape with lights,2006
wilmington,DE,triangle,Weird Lights,2006
